algorithm,nodes,n,size,total_time,comm_time,comp_time
mpi_coletiva,1,512,40,0.043331,0.028335,0.014994
mpi_coletiva,1,512,40,0.036328,0.017949,0.018378
mpi_coletiva,1,512,40,0.060319,0.043307,0.017011
mpi_coletiva,1,512,40,0.047367,0.032002,0.015364
mpi_coletiva,1,512,40,0.041393,0.024357,0.017035
mpi_coletiva,1,1024,40,0.232005,0.038420,0.193575
mpi_coletiva,1,1024,40,0.238495,0.041181,0.197310
mpi_coletiva,1,1024,40,0.234163,0.031611,0.202540
mpi_coletiva,1,1024,40,0.229639,0.035053,0.194582
mpi_coletiva,1,1024,40,0.239993,0.026122,0.213868
mpi_coletiva,1,2048,40,5.229747,0.164785,5.064950
mpi_coletiva,1,2048,40,5.236576,0.239410,4.997155
mpi_coletiva,1,2048,40,5.169677,0.339631,4.830042
mpi_coletiva,1,2048,40,5.314762,0.418057,4.896700
mpi_coletiva,1,2048,40,5.221498,0.182835,5.038653
mpi_coletiva,1,4096,40,48.756684,2.552259,46.204421
mpi_coletiva,1,4096,40,48.725482,1.075292,47.650185
mpi_coletiva,1,4096,40,48.782268,0.458934,48.323331
mpi_coletiva,1,4096,40,48.657795,0.354847,48.302945
mpi_coletiva,1,4096,40,48.810295,0.420455,48.389836
mpi_coletiva,2,512,80,0.369294,0.363988,0.005305
mpi_coletiva,2,512,80,0.275599,0.269407,0.006190
mpi_coletiva,2,512,80,0.291369,0.284022,0.007345
mpi_coletiva,2,512,80,0.344903,0.335732,0.009169
mpi_coletiva,2,512,80,0.323406,0.318339,0.005065
mpi_coletiva,2,1024,80,0.425041,0.363312,0.061727
mpi_coletiva,2,1024,80,0.477209,0.384407,0.092801
mpi_coletiva,2,1024,80,0.409933,0.311980,0.097951
mpi_coletiva,2,1024,80,0.411208,0.316223,0.094984
mpi_coletiva,2,1024,80,0.416297,0.357745,0.058550
mpi_coletiva,2,2048,80,3.437295,1.060045,2.377245
mpi_coletiva,2,2048,80,3.095379,0.685680,2.409687
mpi_coletiva,2,2048,80,3.142260,0.743930,2.398326
mpi_coletiva,2,2048,80,3.278826,0.541825,2.736994
mpi_coletiva,2,2048,80,3.076923,0.607889,2.469029
mpi_coletiva,2,4096,80,25.008861,0.981001,24.027855
mpi_coletiva,2,4096,80,24.968074,0.816409,24.151661
mpi_coletiva,2,4096,80,25.034217,1.297807,23.736406
mpi_coletiva,2,4096,80,24.516590,0.549625,23.966958
mpi_coletiva,2,4096,80,24.879737,0.712554,24.167171
mpi_coletiva,3,512,120,0.615724,0.612788,0.002934
mpi_coletiva,3,512,120,0.739182,0.736396,0.002784
mpi_coletiva,3,512,120,0.515245,0.511204,0.004040
mpi_coletiva,3,512,120,0.627596,0.623930,0.003665
mpi_coletiva,3,512,120,0.812578,0.808761,0.003815
mpi_coletiva,3,1024,120,0.484931,0.424990,0.059939
mpi_coletiva,3,1024,120,0.834838,0.774990,0.059846
mpi_coletiva,3,1024,120,0.787384,0.731264,0.056119
mpi_coletiva,3,1024,120,0.746397,0.687662,0.058733
mpi_coletiva,3,1024,120,0.792102,0.737144,0.054957
mpi_coletiva,3,2048,120,2.636557,1.039532,1.597009
mpi_coletiva,3,2048,120,2.702720,1.068807,1.633901
mpi_coletiva,3,2048,120,2.683245,1.059485,1.623750
mpi_coletiva,3,2048,120,2.802751,1.156843,1.645898
mpi_coletiva,3,2048,120,2.376922,0.851566,1.525343
mpi_coletiva,3,4096,120,17.202282,1.943588,15.258681
mpi_coletiva,3,4096,120,17.186551,1.373797,15.812743
mpi_coletiva,3,4096,120,17.234482,1.755138,15.479329
mpi_coletiva,3,4096,120,17.282716,1.783610,15.499102
mpi_coletiva,3,4096,120,17.202541,1.188916,16.013611
mpi_coletiva,4,512,160,0.934040,0.931589,0.002449
mpi_coletiva,4,512,160,0.982008,0.979652,0.002355
mpi_coletiva,4,512,160,0.896563,0.894303,0.002259
mpi_coletiva,4,512,160,0.943083,0.940927,0.002155
mpi_coletiva,4,512,160,0.856358,0.854053,0.002304
mpi_coletiva,4,1024,160,0.938069,0.897809,0.040259
mpi_coletiva,4,1024,160,0.887675,0.843982,0.043690
mpi_coletiva,4,1024,160,0.976314,0.948707,0.027605
mpi_coletiva,4,1024,160,0.888674,0.849615,0.039058
mpi_coletiva,4,1024,160,0.958501,0.915578,0.042921
mpi_coletiva,4,2048,160,2.312962,1.168819,1.144139
mpi_coletiva,4,2048,160,2.085996,0.777166,1.308827
mpi_coletiva,4,2048,160,2.025367,0.864454,1.160909
mpi_coletiva,4,2048,160,2.350997,1.215737,1.135232
mpi_coletiva,4,2048,160,2.335169,1.112437,1.222728
mpi_coletiva,4,4096,160,13.423751,2.155226,11.268510
mpi_coletiva,4,4096,160,13.131605,1.228847,11.902745
mpi_coletiva,4,4096,160,13.980083,2.618525,11.361552
mpi_coletiva,4,4096,160,13.194049,1.992292,11.201753
mpi_coletiva,4,4096,160,13.100729,1.861785,11.238938
mpi_p2p_bloq,1,512,40,0.034480,0.014108,0.020364
mpi_p2p_bloq,1,512,40,0.034815,0.016861,0.017946
mpi_p2p_bloq,1,512,40,0.050120,0.029814,0.020299
mpi_p2p_bloq,1,512,40,0.034862,0.019133,0.015723
mpi_p2p_bloq,1,512,40,0.034354,0.017275,0.017064
mpi_p2p_bloq,1,1024,40,0.236509,0.042329,0.194152
mpi_p2p_bloq,1,1024,40,0.235443,0.037105,0.198311
mpi_p2p_bloq,1,1024,40,0.237573,0.040946,0.196595
mpi_p2p_bloq,1,1024,40,0.237721,0.044250,0.193446
mpi_p2p_bloq,1,1024,40,0.242025,0.039159,0.202838
mpi_p2p_bloq,1,2048,40,5.414838,0.447778,4.967009
mpi_p2p_bloq,1,2048,40,5.181107,0.258019,4.923014
mpi_p2p_bloq,1,2048,40,5.406777,0.527753,4.878977
mpi_p2p_bloq,1,2048,40,5.154868,0.339942,4.814872
mpi_p2p_bloq,1,2048,40,5.062762,0.155878,4.906821
mpi_p2p_bloq,1,4096,40,48.890569,2.704453,46.186038
mpi_p2p_bloq,1,4096,40,46.850093,0.530541,46.319476
mpi_p2p_bloq,1,4096,40,46.992968,0.667883,46.325016
mpi_p2p_bloq,1,4096,40,54.372147,8.849150,45.522948
mpi_p2p_bloq,1,4096,40,48.913050,2.461199,46.451761
mpi_p2p_bloq,2,512,80,0.217755,0.213320,0.004429
