n,size,total,comm,comp
512,160,0.540290,0.538039,0.002250
n,size,total,comm,comp
512,160,0.557735,0.555581,0.002152
n,size,total,comm,comp
512,160,0.557744,0.554237,0.003505
n,size,total,comm,comp
512,160,0.553128,0.547714,0.005411
n,size,total,comm,comp
512,160,0.519994,0.517811,0.002181
n,size,total,comm,comp
1024,160,0.596789,0.547688,0.049091
n,size,total,comm,comp
1024,160,0.618466,0.574442,0.044015
n,size,total,comm,comp
1024,160,0.574549,0.526573,0.047968
n,size,total,comm,comp
1024,160,0.619267,0.576309,0.042950
n,size,total,comm,comp
1024,160,0.607599,0.566750,0.040840
n,size,total,comm,comp
2048,160,1.982137,0.800220,1.181870
n,size,total,comm,comp
2048,160,1.943816,0.804825,1.138947
n,size,total,comm,comp
2048,160,1.936913,0.818063,1.118813
n,size,total,comm,comp
2048,160,1.911485,0.783527,1.127921
n,size,total,comm,comp
2048,160,1.928575,0.879861,1.048670
n,size,total,comm,comp
4096,160,16.989241,5.775736,11.213450
n,size,total,comm,comp
4096,160,16.820407,4.990592,11.829751
n,size,total,comm,comp
4096,160,16.333933,4.345390,11.988492
n,size,total,comm,comp
4096,160,15.909381,4.329446,11.579859
n,size,total,comm,comp
4096,160,16.782764,4.982669,11.800046
